y_true,p_raw_svm,p_raw_cat,p_raw_mlp,p_svm,p_cat,p_mlp,p_final,bin_id,model_used
1,0.8280971576263364,0.9858165049302402,0.0,0.7941252465000419,1.0,0.8219895287958116,1.0,8,catboost
1,0.8175668522637117,0.9019248572187738,0.0,0.8982730844745691,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8280971576263368,0.39268001096463756,0.0,0.794125246500036,0.5,0.8219895287958116,0.5,7,catboost
1,0.8280971576263368,0.9833636698435471,0.0,0.794125246500036,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.827950378659393,0.07237573832628928,0.0,0.7960502086104635,0.375,0.8219895287958116,0.375,6,catboost
1,0.828330289735353,0.7552778737052152,0.0,0.7910374721246328,0.8181818181818182,0.8219895287958116,0.8181818181818182,8,catboost
0,0.8279581783726706,0.0717045886410044,0.0,0.7959482880139547,0.0,0.8219895287958116,0.0,5,catboost
0,0.8282446496927506,0.9739666913630732,0.0,0.7921760825575218,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8279587181068648,0.1502230041187364,0.0,0.7959412336501909,0.4,0.8219895287958116,0.4,6,catboost
1,0.8273341573214574,0.9401646093614184,0.0,0.8039717334604786,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
0,0.8280971576263368,0.12447076419539244,0.0,0.794125246500036,0.375,0.8219895287958116,0.375,6,catboost
1,0.8271651322734309,0.9875130780369847,0.0,0.8060996345286778,1.0,0.8219895287958116,1.0,8,catboost
1,0.8280930768652774,0.988183781518395,0.0,0.7941789635287017,1.0,0.8219895287958116,1.0,8,catboost
1,0.828330375653017,0.9460092289499891,0.0,0.7910363272951436,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
0,0.82833037565338,0.5636637670402788,0.0,0.7910363272903074,0.5,0.8219895287958116,0.5,7,catboost
1,0.820466060697886,0.9443890885267043,0.0,0.8758797099107514,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8282327942892315,0.8885615866766118,0.0,0.7923333072311273,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8272785988259471,0.9979487271674412,0.0,0.8046732980240461,1.0,0.8219895287958116,1.0,8,catboost
0,0.8272789795839475,0.9849297421841725,0.0,0.8046684970887232,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8283301468109409,0.9957977688448447,0.0,0.7910393765422972,1.0,0.8219895287958116,1.0,8,catboost
1,0.8257681165696978,0.9064881457971506,0.0,0.8229581803694159,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.827958178371206,0.9802836787639566,0.0,0.7959482880330976,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
0,0.8272824270365342,0.7703867694359096,0.0,0.8046250240936447,0.8181818181818182,0.8219895287958116,0.8181818181818182,8,catboost
1,0.8279560381926321,0.9825409607457001,0.0,0.7959762583592753,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8186950762221712,0.9510156110627895,0.0,0.8900513133919027,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8270452886859874,0.9943286933886439,0.0,0.8075967321832496,1.0,0.8219895287958116,1.0,8,catboost
1,0.8279578190360906,0.9885482924163123,0.0,0.7959529844579701,1.0,0.8219895287958116,1.0,8,catboost
0,0.8204658571328374,0.3981405227346947,0.0,0.8758814320554305,0.5,0.8219895287958116,0.5,7,catboost
1,0.8146522675844363,0.954311127516188,0.0,0.9168885142195192,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8283303393042875,0.9605651735960128,0.0,0.7910368116326916,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.828348690144814,0.8944307410048851,0.0,0.7907921759512815,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
0,0.827279019081846,0.39250425269907113,0.0,0.8046679990585152,0.5,0.8219895287958116,0.5,7,catboost
1,0.8281790104616777,0.7232320753664279,0.0,0.7930453705113006,0.8181818181818182,0.8219895287958116,0.8181818181818182,8,catboost
1,0.8271825404382237,0.9596509414103569,0.0,0.805881367204953,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.820449853332021,0.9764250045552174,0.0,0.8760167540395958,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8280969270280378,0.9830525271637516,0.0,0.7941282822805757,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8280971045885526,0.9790227515245492,0.0,0.7941259447350929,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8279581783709848,0.9444426575777185,0.0,0.7959482880359873,0.9545454545454546,0.8219895287958116,0.9545454545454546,8,catboost
1,0.8280971576263368,0.9917055827327701,0.0,0.794125246500036,1.0,0.8219895287958116,1.0,8,catboost
1,0.8272792466006091,0.9913216815433393,0.0,0.8046651302470031,1.0,0.8219895287958116,1.0,8,catboost
1,0.828070259439927,0.9895967469024,0.0,0.7944791103651281,1.0,0.8219895287958116,1.0,8,catboost
1,0.8199167233125036,0.9910458178314396,0.0,0.880447545744969,1.0,0.8219895287958116,1.0,9,catboost
0,0.8273127012735706,0.41302835711288816,0.0,0.80424291634917,0.5,0.8219895287958116,0.5,7,catboost
1,0.8277273644712789,0.8761326742384903,0.0,0.7989468373893458,0.8571428571428571,0.8219895287958116,0.8571428571428571,8,catboost
1,0.8272055982114797,0.9924366350045427,0.0,0.805591949994254,1.0,0.8219895287958116,1.0,8,catboost
1,0.8279581701676754,0.9946693944709359,0.0,0.7959483952522834,1.0,0.8219895287958116,1.0,8,catboost
0,0.8272792468555312,0.6029115594913855,0.0,0.8046651270326404,0.5,0.8219895287958116,0.5,7,catboost
